update,ep_num,ep_score,ep_kills,ep_steps,start_p_x,start_alien_dir,start_swarm_drift
292,41409,389.0,29,1979,149,-1,63.8
292,41410,1088.8,40,2588,533,-1,42.5
292,41411,352.1,30,1828,108,-1,75.0
292,41412,1071.5,40,2517,697,-1,87.5
292,41413,939.5,40,2864,24,-1,98.8
292,41414,616.5,36,2200,596,-1,60.0
292,41415,1110.0,40,2197,199,1,50.0
292,41416,1038.8,40,3029,455,1,20.0
292,41417,665.7,35,2202,99,1,77.5
292,41418,1058.0,40,2692,601,-1,61.2
292,41419,1081.1,40,2687,660,-1,77.5
292,41420,1092.2,40,2324,132,-1,68.8
292,41421,1100.2,40,2056,734,1,97.5
292,41422,1067.8,40,2358,565,1,51.2
292,41423,1074.2,40,2203,21,-1,98.8
292,41424,1030.5,40,2922,720,-1,93.8
292,41425,596.6,36,2412,215,-1,45.0
292,41426,500.7,34,1997,638,-1,71.2
292,41427,1108.1,40,1993,315,-1,17.5
292,41428,257.9,26,1562,648,-1,73.8
292,41429,1051.7,40,2198,229,-1,41.2
292,41430,354.3,30,1887,265,1,31.2
